0,Actor ID/SRN,Role,Country,Actor/Organisation name,VAT number,EORI,National trade register,Street name,Street number,Address line 2,PO box,City,Postal Code,Country,Email,Phone number,Website
2346,PT-MF-000022554,Manufacturer,Portugal,"Antão Medical - Equipamentos Médico-Cirúrgicos, Lda",507754468,,,"Rua da Indústria, Lote 5",,,,Travanca - Oliveira de Azeméis,3720-571,Portugal,info@antaomedical.pt,+351256099362,https://www.antaomedical.pt/
2347,TR-MF-000021881,Manufacturer,Turkey,RH POZİTİF TIBBİ CİHAZLARI İMALAT TEKNOLOJİ ANONİM ŞİRKETİ,7350745831,,2667269155083,Dempa Caddesi,,"Susuz Mah. Dempa Caddesi No.5, Yenimahalle / ANKARA",006105,Ankara,006105,Turkey,omnitech@rhpositive.com.tr,+90 532 500 95 72,www.rhpositive.com.tr
2348,DE-MF-000021839,Manufacturer,Germany,Stark Healthcare GmbH,DE331111174,,,Stresemannallee,4C,,Neuss,Neuss,41460,Germany,info@starkhealthcare.org,021317769160,WWW.Starkhealthcare.de
2349,FR-MF-000022215,Manufacturer,France,MYPL,FR17832417950,,832417950 R.C.S. Versailles,avenue des prés,12,,,Montigny le Bretonneux,78180,France,ja.kaminisky@mypl.io,,
2350,NL-MF-000023290,Manufacturer,Netherlands,Patiënt Lifting Solutions B.V.,NL850475569B01,NL850475569,52505669,Barneveldsestraat ,26a,,,Renswoude,3927 CC,Netherlands,info@pls.nl,+31(0)318 576 668,www.plsbv.com
2351,CN-MF-000022956,Manufacturer,China,"Shenzhen Smallsignal Technology Co., Ltd.",,,,Pingshan Street,,"Room 40205,#1 Building, Huahan Science and Technology Industrial Park, No. 19, Qiyun West Road, Heping Community",,Shenzhen,518083,China,liuqingliang@smallsignal.cn,,
2352,DE-MF-000005048,Manufacturer,Germany,HS DOMS GmbH,DE298090449,DE475187242356060,Amtsgericht Jena HRB 510890,Langenschader Str.,67,,,Saalfeld/Saale,07318,Germany,info_dmd@haag-streit.com,+49367154500,http://www.hs-doms.eu
2353,DE-MF-000022658,Manufacturer,Germany,IMESO-IT GmbH,DE 318 105 592,,HRB 9452,Robert-Bosch-Straße,14,,,Gießen,35398,Germany,imeso@imeso.de,,www.imeso.de
2354,FR-MF-000022232,Manufacturer,France,NOAO SA,FR57438389090,,,Rue Rouelle,49,,,PARIS,75015,France,gestioncommerciale@akeo.fr,+33 02 32 77 27 87 ,https://www.akeostore.com/
2355,TW-MF-000018739,Manufacturer,Taiwan,PEGAVISION Corporation,,,,"Shing Yeh St., Guishan Dist.","2F-1, No. 5",,,Taoyuan City,333,Taiwan,Service@pegavision.com,+886 3 329 88 08,https://www.pegavision.com/en/
2356,PK-MF-000023523,Manufacturer,Pakistan,Comfort Surgical Instruments,,,4291010-2,"Syedanwali East Near Al-Asar Hospital 51310, Sialkot, Pakistan",,,,Sialkot,51310,Pakistan,comfortinstruments@gmail.com,+92 303 5415697,www.comfortsurgical.com
2357,DE-MF-000023343,Manufacturer,Germany,ALMIKRO GmbH & Co. KG,DE244583147,DE6694977,HRA 310553,Löwenweg,1e,,,Bad Krozingen,79189,Germany,info@almikro.de,+49 7633 14531,http://www.almikro.de/
2358,CN-MF-000023269,Manufacturer,China,"Jiangxi Dion Eyewear Co.,Ltd.",,,91360622MA39UJRP27,"No. 7, Haoming Avenue, Glasses Industrial Park, Yujiang District, Yingtan City, Jiangxi Province, 335212, China","No. 7, Haoming Avenue","No. 7, Haoming Avenue, Glasses Industrial Park, Yujiang District, Yingtan City, Jiangxi Province, 335212, China",,Yingtan City,335212,China,kiven.gan@dionoptical.com,+86-15888445506,www.dionoptical.com
2359,IN-MF-000022204,Manufacturer,India,Bombay Ortho Industries,24AAHFB9279M1ZU,,,"Gate No. 3, G/551, Metoda, G. I. D. C., Lodhika, Kalawad Rd, Rajkot, Gujarat 360021, India.",,,,Rajkot,360021,India,marketing@bombayortho.com,+91 9 099 06 11 00, www.bombayortho.com
2360,MY-MF-000023324,Manufacturer,Malaysia,Richter Rubber Technology Sdn Bhd,,,199301025768 (280506-T),Kuala Ketil Industrial Estate,Plot 209,,09300,Kuala Ketil,09300,Malaysia,liza@myrrt.de,+6044161668,www.myrrt.de
2361,US-MF-000007947,Manufacturer,United States,Genzyme Corporation,06-1047163,,,Pleasant View Terrace,1125,,,Ridgefield,07657,United States,jill.neri@sanofi.com,,
2362,FI-MF-000022620,Manufacturer,Finland,Wallac Oy,FI09371684,FI0937168-4,0937168-4,Mustionkatu,6,,"10, FI-20101 Turku",Turku,FI-20750,Finland,regulatoryaffairs.turku@perkinelmer.com,+3582 2678111,www.perkinelmer.com
2363,CA-MF-000023542,Manufacturer,Canada,Kardium Inc.,,,,Glenlyon Parkway,8518,#155,,Burnaby,V5J 0B6,Canada,regulatory.affairs@kardium.com,,
2364,CZ-MF-000022346,Manufacturer,Czech Republic,"DIANA Biotechnologies, s.r.o.",CZ 07281218,CZ07281218,07281218,Nad Safinou II,366,,,Vestec,252 50,Czech Republic,info@dianabiotech.com,+420 212 247 472,https://www.dianabiotech.com/
2365,US-MF-000022350,Manufacturer,United States,"I.C. Medical, Inc.",,,,North 25th Drive,15002,,,"Phoenix, AZ",85023,United States,inquiry@icmedical.com,+1 623 780 0700,www.icmedical.com
2366,IE-MF-000008351,Manufacturer,Ireland,GlaxoSmithKline Trading Services Limited,IE6426446T,IE6426446T,406446,"12 riverwalk, citywest business campus",12,Dublin 24,None,dublin 24,D24 YK11,Ireland,mary.x.mcquaid@gsk.com,00353 1 495 5000.,No website
2367,DE-MF-000022073,Manufacturer,Germany,Centronic GmbH,DE228442540,DE3046389,HRB 146615,Am Kleinfeld,11,,,Wartenberg,85456,Germany,info@centronic-gmbh.com,,www.centronic-gmbh.com
2368,ES-MF-000021993,Manufacturer,Spain,"Skin Tech Pharma Group, SL",B-17470261,,,"C/ Pla de lÉstany, 29",29,,,Castelló d´Empúries,17486,Spain,CIOO@skintechpharmagroup.com,,
2369,PL-MF-000023459,Manufacturer,Poland,"""Metanel Group"" Spółka Akcyjna",5210087665,,0000170617,ul.Nad Białką,2A,,,Czechowice-Dziedzice,43-503,Poland,sekretariat@metanel-group.com,,
2370,IT-MF-000018592,Manufacturer,Italy,Biolena srl,02649320849,,REA AG - 197245,Tuttolomondo,6,,,Aragona,92021,Italy,info@biolena.it,+390922441861,www.biolena.it
2371,SE-MF-000021836,Manufacturer,Sweden,iDoc24 AB,556746472101,556746472101,556746472101,Berzeliigatan,25,Berzeliigatan 25,41253,Gothenburg,41253,Sweden,info@idoc24.com,,www.idoc24.com
2372,US-MF-000021911,Manufacturer,United States,Cambridge Interventional LLC,,,,Cambridge Street,78,,,Burlington,01803,United States,info@cambint.com,+1 781 221 5300,www.cambint.com
2373,DE-MF-000013177,Manufacturer,Germany,1stQ GmbH,DE251223531,DE7086784,HRB Mannheim 70408,Konrad-Zuse-Ring ,23,,,Mannheim,68163,Germany,deutschland@1stq.de,+496217176330,www.1stq.de
2374,ES-MF-000001009,Manufacturer,Spain,"Biomedal, S.L.",B91045948,,,Avda. Américo Vespucio,5,"Bloque 4, 1º Planta, Módulo 12",,Sevilla,41092,Spain,laa@biomedal.com,+34 955983215,www.biomedal.com
2375,FR-MF-000011548,Manufacturer,France,STERIS SAS,FR 87 391 461 373,FR 39146137300097,391 461 373 R.C.S,Avenue De Magudas ,116,,,Le Haillan,33185,France,ra-emea@steris.com,,www.steris.com
2376,HU-MF-000024366,Manufacturer,Hungary,Optimall Optika Kft.,14945557-2-41,HU0006621843,,Dolmány utca,12,,,Budapest,1131,Hungary,info@optimall.hu,+3612710295,www.optimall.hu
2377,DE-MF-000024925,Manufacturer,Germany,TherapySelect Dr. Frank Kischkel,DE 286783112,DE 442776535297471,,Carl-Bosch-Str.,4,,,Heidelberg,69115,Germany,contact@therapyselect.de,+49 6221 8936157,https://www.therapyselect.de
2378,CN-MF-000021930,Manufacturer,China,"Wuhan YiRuiDe Medical Equipment New Technology Co., Ltd.",91420100666760364M,,,Fenghuangyuan Middle Road,No.16,"East Lake  Development Zone, Wuhan City, Hubei Province 430223, China",,Wuhan City,430223,China,eric.wang988@foxmail.com,+86 27 81629688,https://www.yiruide.com/
2379,PK-MF-000021835,Manufacturer,Pakistan,STARMIX TRADERS,,,1337390,18/421 Taj Pura,,,,Sialkot,51310,Pakistan,info@starmixtraders.com,+92 52 4596169,www.starmixtraders.com
2380,CN-MF-000022198,Manufacturer,China,"Weckerle Cosmetics (Hangzhou) Co.,Ltd.",,,91330100689070307J,"Baiyang Street, Qiantang New Area","1/F,Bldg.3,No.32,Road No.16,",,,Hangzhou,310018,China,Jack.Zhang@weckerle-cn.com,,
2381,TR-MF-000022182,Manufacturer,Turkey,Omega Ortopedik Sistemler San. Paz. ve Tic. Ltd. Şti.,642 036 9496,,2667269059125,Gaziosmanpaşa Mah.,5460/2 Sk. No:53/A,Çamdibi-Bornova/İZMİR,,İZMİR,35090,Turkey,info@omegasaglik.com,,www.omegasaglik.com
2382,IL-MF-000022046,Manufacturer,Israel,Home Skinovations Ltd,513840470,,513840470,"Tavor Building, Shaar Yokneam",,,533,Yokneam,2069206,Israel,quality@silkn.com,+972-4-9097470,www.silkn.com
2383,CN-MF-000024552,Manufacturer,China,"Chengdu Wesley Bioscience Technology Co., Ltd.",,,91510100794916300L,"3F, Block B6, Tianfu Life Science Park, No.88 South Keyuan Road, High-Tech Zone",,,, Chengdu,610041,China,chinacd@wlsmed.com,,www.china-wls.com 
2384,DE-MF-000013385,Manufacturer,Germany,Levy Health GmbH,DE331873388,,,Torstrasse ,223,,,Berlin,10115,Germany,hello@levy.health,+49 1567 8393 502,https://www.levy.health/
2385,RO-MF-000021783,Manufacturer,Romania,D&G GROUP SRL,RO14161406,14161406,J51/213/2001,STR DR ING CIULINARU ION NR,4,"STR DR ING CIULINARU ION NR 4, CALARASI",910022,Calarasi,910022,Romania,office@dnggroup.ro,+40242317500,www.dnggroup.ro
2386,DE-MF-000006128,Manufacturer,Germany,TNI medical AG,DE814880744,DE6870171,,Tiefe Gasse,11-13,,,Würzburg,97084,Germany,info@tni-medical.de, +49(0)931 20 79 29 02   ,https://tni-medical.de
2387,TR-MF-000021954,Manufacturer,Turkey,G.M.S. BİLİŞİM ELKTRONİK MEDİKAL TIBBİ MALZEME VE CİHAZLAR TEKSTİL İNŞAAT VE TİC. LTD. ŞTİ.,3880630958,,2667269058418,Alaaddinbey Mh. 634. Sk. No:3a/1 NİLÜFER BURSA,,,16120,BURSA,16120,Turkey,h.gultekin@gmsmedikal.com,+902244529413,www.gmsmedikal.com
2388,CN-MF-000023245,Manufacturer,China,"Hangzhou KBM Healthland Bio-tech Co., Ltd.",91330185MA7JHNKF2E,,,"Building 1,No. 29, Shangyang Road, Jinnan Street, Lin'an District",,,,Hangzhou,311399,China,service@kbmlifesci.com,+86-571-61087098,
2389,KR-MF-000022396,Manufacturer,Republic of Korea,"DynaMedic Co., Ltd.",,,,Osongsaengmyeong 2-ro,125,"#506, #310",,Cheongju-si,28161,Republic of Korea,sales@dynamedic.co.kr,+82-43-904-7531,http://www.dynamedic.co.kr
2390,CN-MF-000022955,Manufacturer,China,"Wenzhou Mirai Optical Co., Ltd",,,,"Room 1006, Building 9, Group 2, Huanglong Kangcheng, Cuiwei Avenue, Shuangyu Street",,", Lucheng, Wenzhou, Zhejiang",,WENZHOU,325000,China,ben@miraioptical.com,,
2391,CH-MF-000021848,Manufacturer,Switzerland,Sensimed SA,CHE-314.922.031 MWST,DE390462262200941,CHE-314.922.031,Route en Rambuz ,17,,,Etagnières,1037,Switzerland,info@sensimed.ch,+41216219191,www.sensimed.ch
2392,IL-MF-000022128,Manufacturer,Israel,"PulmOne Advanced Medical Devices, Ltd.",,,,HaMelacha Street,14,,,Ra'ananna,4366107,Israel,shlomi@pulm-one.com,+972775100938,
2393,BR-MF-000020517,Manufacturer,Brazil,Dentsply Industria e Comercio Ltda.,,,,Rua Jose Francisco De Souza N 1926,,Distrito Industrial ,,"Pirassununga, Sao Paulo ",13633-412,Brazil,desiree.cortez@dentsplysirona.com,+55 19 3565 5656,www.dentsplysirona.com
2394,CN-MF-000021945,Manufacturer,China,"LIUYANG SANLI MEDICAL TECHNOLOGY DEVELOPMENT CO.,LTD.",,,91430181397094016G,JINSHA NORTH ROAD,NO. 99,,,LIUYANG,410300,China,TRADING@HUNANSANLI.COM,,
2395,SK-MF-000022644,Manufacturer,Slovakia,UTAS Technologies,SK2120093382,SK2120093382,48146480,Stavitelska,1,no,,Bratislava,83104,Slovakia,info@utastech.eu,+421220620001,www.utastech.eu
2396,TR-MF-000021853,Manufacturer,Turkey,NTA IMPLANT TICARET VE SANAYI LTD. STI,8560357026,,2667269036124,Ismetpasa caddesi,,Tahilpazari mh. Ismetpasa cd. Zeynep Ertugrul Apt. No:43/3 Muratpasa/Antalya/Turkey,,ANTALYA,07040,Turkey,quality@ntaimplant.com,00902422481996,www.ntaimplant.com
2397,US-MF-000019469,Manufacturer,United States,More Diagnostics Inc,,No EORI,Not applicable,11th Street,2020,,,Los Osos,93402,United States,mpowers@morediagnostics.com,+1 800 758 0978 ,www.morediagnostics.com
2398,US-MF-000023244,Manufacturer,United States,Paragon Medical,,,,Matchett Drive,8,,,Pierceton,46562,United States,shawn.roesler@paragonmedical.com,15745942140,www.paragonmedical.com
2399,US-MF-000021763,Manufacturer,United States,"Prosidyan, Inc.",,,,Spring Street,41,#107,,New Providence,07974,United States,cgreen@prosidyan.com,9088348016,
2400,GB-MF-000023783,Manufacturer,United Kingdom (ex Northern Ireland),Clinisupplies Ltd,761452142,GB761452142000,04013240,1 Blackmoor Lane ,,"Croxley Park , Hertfordshire ",,Watford ,WD18 8GA,United Kingdom (ex Northern Ireland),Info@clinisupplies.co.uk,+4420 8863 4168,https://www.clinisupplies.co.uk
2401,FR-MF-000022231,Manufacturer,France,Maison Henry Jullien,FR37892385329,FR89238532900024,,RUE DE LA REPUBLIQUE,216B,,,HAUTS DE BIENNE,39400,France,contact@maison-henry-jullien.fr,,
2402,FR-MF-000022227,Manufacturer,France,L'AMY LUXE,FR19892385808,FR89238580800019,,Rue de la republique,216B,Morez,,Hauts de bienne,39400,France,contact@lamy.luxe,,
2403,RO-MF-000021782,Manufacturer,Romania,STERISACO SRL,35955175,Ro35955175,j13/1002/2016,TIBERIU BREDICEANU ,5,FLAT 5,,CONSTANTA,900236,Romania,office@sterisaco.ro,,sterisaco.ro
2404,NL-MF-000025524,Manufacturer,Netherlands,MSupport International B.V,NL857716578B01,NL857716578,69070083,De Pas,21,,,Bemmel,6681KC,Netherlands,info@bits4tours.com,+31 481454664,www.music4five.com
2405,NL-MF-000002671,Manufacturer,Netherlands,Arion Slide Solutions B.V.,NL811496521B01,NL811496521,14075898,Rutherford,11,,,Heerlen,6422RE,Netherlands,slideorders@arion-group.com,+31452094014,www.arion-group.com
2406,GB-MF-000004228,Manufacturer,United Kingdom (ex Northern Ireland),PredictImmune Ltd.,270617901,,,Maia Building 270,,Babraham Research Campus,,Cambridge,CB22 3AT,United Kingdom (ex Northern Ireland),fpatterson@predictimmune.com,,www.predictimmune.com
2407,RO-MF-000021780,Manufacturer,Romania,SC VITROMED SRL,RO28114153,RO28114153,J40/2390/02.03.2011,Aninului,12,,,BUCURESTI,014577,Romania,office@vitromed.ro,,
2408,GB-MF-000023374,Manufacturer,United Kingdom (ex Northern Ireland),Rumex International Ltd.,GB119393695,,6950818,Shoreham Street,311,South Yorkshire,,Sheffield,S24FA,United Kingdom (ex Northern Ireland),info@rumexinternational.ltd.uk,+01977 799261,http://rumexinternational.ltd.uk/
2409,FR-MF-000023665,Manufacturer,France,MHW Care,FR94812946713,FR81294671300029,RC812946713,Ernest Guillier,18,,,PERIGUEUX,24000,France,contact@dermoioniq.com,+33553882560,https://www.dermoioniq.com/fr/
2410,FR-MF-000022212,Manufacturer,France,Doc2U,FR88889278727,FR88927872700017,Toulouse B 889 278 727,Avenue du général de Croutte,42,DOC2U,,TOULOUSE,31100,France,contact@doc2u.fr,+33783312455,www.doc2u.fr
2411,DE-MF-000011231,Manufacturer,Germany,Paradigm Spine GmbH,DE238136687,DE5839963,Stuttgart HRB 451324 ,Eisenbahnstrasse ,84,,,Wurmlingen,78573 ,Germany,info@surgalign.com,+49 7461 963599 0,https://www.surgalign.com/
2412,DE-MF-000022049,Manufacturer,Germany,CUREosity GmbH,DE 321846980,DE745274359953957,HRB 85411,Burgunderstraße,27,,,Düsseldorf,40549,Germany,contact@cureosity.de,+492118220466,https://www.cureosity.de/
2413,IT-MF-000007599,Manufacturer,Italy,BTC srl,02489471207,,,via Colombarotto,34,,,Imola,40026,Italy,btcmed@btc-med.it,,
2414,KR-MF-000021655,Manufacturer,Republic of Korea,"OSSTEM IMPLANT CO.,LTD",,,6998500923,"Mayu-ro 238beon-gil, Siheung-si, Gyeonggi-do,15079, Republic of Korea",51,"2 Floor, B-dong",, Siheung-si,15079,Republic of Korea,osstem_ra@osstem.com,,
2415,CN-MF-000022044,Manufacturer,China,"Wuxi BoTEC Medical Innovation Co., Ltd.",,,,"Jingrui Road, Zhangjing, Xibei Town, Xishan Area",No.8-9,,,Wuxi，Jiangsu Province,214194,China,wxhr@botec-med.com,+86 0510 8379 7697,http://www.winnti.com/
2416,TW-MF-000022042,Manufacturer,Taiwan,Quanta Computer Inc.,,,22822281,"No. 188, Wenhua 2nd Rd.,",,"Guishan Dist.,",,Taoyuan City,333,Taiwan,QOCA@quantatw.com,+886 3 327 2345,www.quantatw.com
2417,CN-MF-000021938,Manufacturer,China,"Ningbo Zhuoqiu Medical Equipment Co.,Ltd.",,,91330282MA2GULDW08,"1st Road,Dapeng Village Park,Longshan Town",,,,"Cixi City,Zhejiang Province",315331,China,allanhuang@cnzqmed.com,,
2418,US-MF-000021932,Manufacturer,United States,"I.V. House, Inc.",,,,Concourse Dr,2072,,,St. Louis,63146,United States,lisa@ivhouse.com,+1 314 453 9200,www.ivhouse.com
2419,IT-MF-000007797,Manufacturer,Italy,Technix S.p.A.,01317690160,IT01317690160,,Via Enrico Fermi ,45,,,Grassobbio,24050,Italy,info@technix.it,+390353846611,www.technix.it
2420,FR-MF-000022233,Manufacturer,France,EUROFEEDBACK,FR45352432827,FR35243282700041,,ZI La Petite Montagne Sud - rue de l'Aubrac,03,,,EVRY,91017 cedex,France,eudamed@eurofeedback.com,,
2421,SE-MF-000022321,Manufacturer,Sweden,Neoss AB,SE556683545901,SE5566835459,,Arvid Wallgrens backe,20,,,Gothenburg,41346,Sweden,raadmin@neoss.com,,
2422,DE-MF-000011603,Manufacturer,Germany,zollsoft GmbH,DE278859403,,HRB 507075,Ernst-Haeckel-Platz,5/6,,,Jena,07745,Germany,medizinprodukte@zollsoft.de,,
2423,FR-MF-000023669,Manufacturer,France,CHARMANT France,FR 14 421 382 292,FR42138229200033,421382292,IMMEUBLE FRONT OFFICE ,12-16,RUE SARAH BERNHARDT,,ASNIERES-SUR-SEINE,92600,France,contact@charmant.fr,+33149489200,www.charmant.com
2424,BE-MF-000020504,Manufacturer,Belgium,Biosense Webster A Division of Johnson & Johnson Medical NV/SA,BE0425967580,,,Leonardo da Vincilaan,15,,,Diegem,1831,Belgium,EUDAMED_Enquiries@its.jnj.com,,
2425,DK-MF-000023499,Manufacturer,Denmark,nine eyewear a/s,33262736,,,Rudolfgaardsvej,1C,,,Viby J,8260,Denmark,info@nine-eyewear.com,+4570270022,nine-eyewear.com
2426,US-MF-000013525,Manufacturer,United States,Mentor,,,,,,,,"Irving, Texas",75038,United States,EUDAMED_Enquiries@its.jnj.com,,
2427,DE-MF-000012740,Manufacturer,Germany,Novoxel GmbH,DE298243851,DE925520544922869,HRB 187499 B  ,Gatower Str. ,124,,,Berlin,13595,Germany,Sixten@novoxel.com,+493054811195,
2428,IE-MF-000007612,Manufacturer,Ireland,Neuravi Limited,,No EORI,468507,"Block 3, Ballybrit Business Park",,,,Galway,H91 K5YD,Ireland,EUDAMED_Enquiries@its.jnj.com,+353 091 394123,www.jnj.com
2429,FI-MF-000001622,Manufacturer,Finland,KiiltoClean Oy,FI17999260,FI1799926-0,1799926-0,Tengströminkatu,6,"20360, Turku",157 ,Turku,20101,Finland,prrc@kiilto.com,,www.kiilto.com
2430,CN-MF-000021664,Manufacturer,China,"WENZHOU HAOYA TRADE CO., LTD",,,91330304MA2CQPYD40,"Daxiangcheng Trade Centre, 2889 Ningbo Road, Ouhai Area",No. A Hall,,,Wenzhou,/,China,kathy@haoyaoptical.com,+86-13806688053,
2431,DK-MF-000024284,Manufacturer,Denmark,Mequ,33968698,,,Ole Maaløes Vej,3,,,Copenhagen,2200,Denmark,dh@mequ.dk,,www.mequ.dk
2432,TR-MF-000022381,Manufacturer,Turkey,AORT SAĞLIK HİZMETLERİ  VE BİLGİ İŞLEM SİSTEMLERİ TURİZM İNŞAAT SANAYİ TİCARET LTD ŞTİ,0700101724,,2667269042365,DES-116 sokak,,Dudullu OSB mahallesi DES-116 sokak Des Sitesi E Apartmanı No:27A Ümraniye-İstanbul-Türkiye,34776,İstanbul,34776,Turkey,info@aort.net,+902166600699,www.aort.net
2433,IN-MF-000023119,Manufacturer,India,STRUmed Solutions Private Limited,,,,"Plot No. 44, Ichhapore GIDC Industrial Estate, Bhatpore, Off Hazira Road,",Plot No. 44,"behind Tata Motors, Surat, Gujarat",,Surat,394510,India,santhosh@strumed.com,,www.strumed.com
2434,DE-MF-000005557,Manufacturer,Germany,Yeti Dentalprodukte GmbH,DE142765304,DE2830922,,Industriestraße,3,,,Engen,78234,Germany,qm@yeti-dental.com,,www.yeti-dental.com
2435,CZ-MF-000023035,Manufacturer,Czech Republic,ŠTĚPAŘ s.r.o.,CZ07371594,CZ07371594,07371594,Střítežská,570,,,Polička,57201,Czech Republic,stepar@stepar.cz,+420461724460,www.stepar.cz
2436,FR-MF-000007664,Manufacturer,France,LUNETTES GRASSET ET ASSOCIES,FR69775544992,,775544992,RUE DU LARDON,10,,,ARBENT,01100,France,contact@lunettesgrasset.com,+33474738378,www.lunettesgrasset.com
2437,IN-MF-000023118,Manufacturer,India,Cephas Medical Private Limited,,,,"Plot No B-13, Phase-1","MEPZ-SEZ, Tambaram, Kanchipram, Tamil Nadu",,,Chennai,600045,India,immanuel@cephasmedical.net,+91 9840330964,www.cephasmedical.net
2438,PL-MF-000020963,Manufacturer,Poland,Lasotronix Sp. z o.o.,PL1231476625,PL123147662500000,0000859233,Elektroniczna,2A,,,Piaseczno,05-500,Poland,biuro@lasotronix.pl,,
2439,DE-MF-000024606,Manufacturer,Germany,IST Innuscreen GmbH,DE175818658,,,Robert-Rössle-Straße,10,,,Berlin,13125,Germany,info.innu@ist-ag.com,,www.ist-innuscreen.com
2440,CN-MF-000023197,Manufacturer,China,"Nanjing Novlead Biotechnology Co., Ltd.",,,91320191MA1WD0287E,Tanmi Road,No. 73,Jiangbei New District,, Nanjing,211800,China,contact@novlead.com,,
2441,NL-MF-000023115,Manufacturer,Netherlands,WellMed BV,8596.53.821.B.01,,73757470,'t Holland,31,,,Duiven,6921GX,Netherlands,info@wellmed.nl,+31852732323,https://www.immunologic.nl
2442,TR-MF-000021721,Manufacturer,Turkey,MMT MERAN MEDİKAL TEKN. KOLL. ŞTİ. AHMET CEMİL BAYTAŞ VE FATMA BAYTAŞ,6220627235,,2667269153909,Ali Rıza Efendi,22,İstanbul Trakya Serbest Bölgesi Ferhatpaşa Sb Mh. Alirıza Efendi Cd. No:22/201 ÇATALCA İSTANBUL,,İstanbul,34540,Turkey,fatma@merantip.com,+902165578755,
2443,VN-MF-000025635,Manufacturer,Vietnam,DAI NAM GLOVE JOINT STOCK COMPANY,3702911432,,,"1765A Binh Duong Highway, Hiep An Ward, Thu Dau Mot City,  Binh Duong Province, Vietnam ",,,700000,Binh Duong,820000,Vietnam,nhuha.hui@gmail.com,0966251055,
2444,IL-MF-000010034,Manufacturer,Israel,Prudentix Ltd.,515469005,,,Bat Sheva,1,,,Lod,7120101,Israel,export@prudentix.com,+972723942222,www.prudentix.com
2445,NL-MF-000002694,Manufacturer,Netherlands,Fysicon B.V.,NL808664943B01,,Kamer van Koophandel (KvK)  nummer 17123359,Hoogheuvelstraat ,114,,,Oss,5349 BA,Netherlands,info@fysicon.com,+31 412 65 33 33,www.fysicon.com
2446,DK-MF-000022189,Manufacturer,Denmark,Virogates A/S,DK25734033,,,Banevaenget ,13,,,Birkeroed,3460,Denmark,info@virogates.com,+45 21131336,www.virogates.com
2447,SK-MF-000004422,Manufacturer,Slovakia,"MEDIST, s.r.o.",SK2020038702,SK2020038702,"spoločnosť zapísaná v Obch. registri Okr. súdu Prešov, odd.: Sro, vl. č. 10394/P",PETRUSOVSKEHO,455/4,,06601,Humenné,06601,Slovakia,obchod@medist.sk,+421905323690,www.medist.sk
2448,TR-MF-000025601,Manufacturer,Turkey,ENA FARMA SAĞLIK ÜRÜNLERİ İMALAT VE DIŞ TİCARET ANONİM ŞİRKETİ-MF,3340823691,,2667269243756,Zümrütevler Mahallesi Başöğretmen caddesi NO 38/A,,,,ISTANBUL,34852,Turkey,cigdemb@enafarma.com.tr,+902164413093,
2449,KR-MF-000023296,Manufacturer,Republic of Korea,B&L Biotech,1198163609,,,"Gwangdeokdong-ro, Danwon-gu",95,,,Ansan-si,15462,Republic of Korea,bnl@bnlbio.com,,
2450,KR-MF-000022397,Manufacturer,Republic of Korea,"Theracion Biomedical Co., Ltd.",6628700342,,,"#807, Joongang Induspia 2nd Bldg, 25, Sagimakgol-ro 105 beon-gil Jungwon-gu",,,,"Seongnam-si, Gyeonggi-do",13201,Republic of Korea,Yhen@theracion.com,+82 70 4421 7711,www.theracion.com
2451,US-MF-000004430,Manufacturer,United States,"Mobius Imaging, LLC",,no EORI,38-1239739,Shaker Road,2,Suite F100,,Shirley,01464,United States,StrykerSpine_EO@stryker.com,001 978 796 5068,www.stryker.com
2452,US-MF-000007954,Manufacturer,United States,ActiGraph,,,,49 E. Chase Street,,,,Pensacola,32502,United States,support@theactigraph.com,8503327900,actigraphcorp.com
2453,IN-MF-000015959,Manufacturer,India,Safeshield India Rubber Products Pvt. Ltd.,,U25191KL1998PTC012350,REGISTRAR OF COMPANIES KERALA,"Plot No. 16B, Cochin Special Economic Zone",,"2 Kakkanad Ernakulam,  Kerala, 682037, India",,Ernakulam,682037,India,sales@safeshieldindia.com,+91 98460 92780,https://www.safeshieldindia.com/
2454,CN-MF-000022199,Manufacturer,China,"Nanjing Sealand medical Co.,ltd",,,9132011755887847XT ," Shen Yuan Road, Li Shui Development Zone",No.13,,,Nanjing,211200,China,sales@sealandmedical.com,,
2455,US-MF-000022159,Manufacturer,United States,Varex Imaging Corporation,,,,Metropolitan Drive,121,,,Liverpool,13088,United States,customercare@vareximaging.com,,
2456,NL-MF-000007854,Manufacturer,Netherlands,CardioDynamics B.V.,NL800104560B01,,27163381,Asveldweg,2,,,Hengelo,7556 BP,Netherlands,info@cdleycom.com,+31117307388,www.cdleycom.com
2457,IL-MF-000022110,Manufacturer,Israel,Hallura Ltd.,,,515706810,Beit Apolo,,,128,Yokne'am Illit,20692,Israel,info@hallura.com,972 4 8550240  ,www.hallura.com
2458,DE-MF-000017639,Manufacturer,Germany,MF MAPA GmbH,52/200/,,HRB 120049,Industriestraße ,21-25,,,Zeven,27404,Germany,jens.lottermoser@newellco.com,+49428173384,www.mapa.de
2459,US-MF-000021541,Manufacturer,United States,Gammex Inc.,,,,Discovery Drive ,7600,,,Middleton Wisconsin,53562,United States,jshaw@mirion.com,+16088287000,www.sunnuclear.com
